FremontWeir     
Qind    with    without
0       0       0
50500   0       0
50660   19      19
51578   34      34
52531   85      85
53585   201     201
54472   501     501
55507   876     876
56473   1326    1326
57508   1828    1828
58541   2409    2409
59456   3099    3099
60436   3919    3919
61509   4566    4566
62490   5866    5866
63514   6295    6295
64482   7110    7110
65587   8110    8110
66511   8707    8707
67574   9818    9818
68581   10658   10658
69457   11285   11285
70493   11778   11778
71536   13095   13095
72516   14058   14058
73525   14959   14959
74506   15772   15772
75423   16161   16161
76481   17255   17255
77547   18038   18038
78479   18947   18947
79442   19414   19414
80392   20756   20756
81502   21233   21233
82549   22303   22303
83406   23182   23182
84588   24395   24395
85537   24702   24702
86546   25455   25455
87412   26353   26353
88619   27842   27842
89505   28984   28984
90462   29651   29651
91546   30299   30299
92481   31096   31096
93651   31999   31999
94483   33314   33314
95588   33921   33921
96485   34813   34813
97520   35513   35513
98494   36364   36364
99506   37447   37447
105175  43595   43595
114829  51885   51885
125495  62326   62326
134988  71440   71440
144928  81496   81496
154279  89819   89819
164968  99159   99159
174794  107586  107586
185017  115267  115267
193759  123882  123882
205453  131601  131601
215256  143563  143563
224277  153718  153718
235470  157618  157618
244775  166117  166117
255173  174862  174862
266810  185782  185782
273974  192031  192031
287033  202107  202107
294942  212595  212595
307920  224078  224078
317137  225406  225406
